normalized_title,representative_title,match_status,match_confidence,failure_reason,search_variants
baldur s gate 2 schatten von amn,Baldur's Gate 2 - Schatten von Amn,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldur%27s+Gate+2+-+Schatten+von+Amn&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldur s gate 2 thron des bhaal,Baldur's Gate 2 - Thron des Bhaal,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldur%27s+Gate+2+-+Thron+des+Bhaal&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldur s gate compilation,Baldur's Gate - Compilation,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldur%27s+Gate+Compilation&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldur s gate legenden der schwertk ste,Baldur's Gate Legenden der Schwertküste,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldur%27s+Gate+Legenden+der+Schwertk%C3%BCste&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldurs gate,Baldurs Gate,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldurs+Gate&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baldurs+Gate+Legendender+Schwertkste&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
ballerburg,Ballerburg,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q593241%7CQ114177234&props=labels%7Caliases%7Csitelinks&format=json: HTTP Error 429: Too Many Requests,
ballermann hey baby,Ballermann Hey Baby,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Ballermann+Hey+Baby&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bananas journey,Bananas Journey,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bananas+Journey&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bang gunship elite,Bang! Gunship Elite,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bang%21+Gunship+Elite&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baphomets fluch der engeldes todes,Baphomets Fluch Der Engeldes Todes,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baphomets+Fluch+Der+Engeldes+Todes&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baphomets fluch der engeldes todesv,Baphomets Fluch Der Engeldes Todesv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baphomets+Fluch+Der+Engeldes+Todesv&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Baphotmets+Fluch+Der+Engeldes+Todes&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
barrow hill der fluchder kelten,Barrow Hill Der Fluchder Kelten,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Barrow+Hill+Der+Fluchder+Kelten&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battle lord,Battle Lord,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battle+Lord&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battle mages,Battle Mages,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battle+Mages&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battle realms,Battle Realms,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battle+Realms&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlecruiser millenium,Battlecruiser Millenium,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlecruiser+Millenium&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield,Battlefield,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield 2,Battlefield 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield 2 special forces,Battlefield 2 Special Forces,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+2+Special+Forces&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield 2v 1,Battlefield 2 v 1,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+2+v+1&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield 2v 1 12,Battlefield 2 v 1 12,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+2+v+1+12&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield northern strike,Battlefield Northern Strike,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+Northern+Strike&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield toolkit,Battlefield Toolkit,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield+Toolkit&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefield2142v150,Battlefield2142v150,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefield2142v150&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlefieldv,Battlefieldv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlefieldv&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlestation pacific,Battlestation Pacific,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlestation+Pacific&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlestations midway,Battlestations Midway,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlestations+Midway&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
battlestations midwayv,Battlestations Midwayv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Battlestations+Midwayv&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bdflmanager,BDFLManager,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=BDFLManager&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
beach king stunt raser,Beach King Stunt Raser,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Beach+King+Stunt+Raser&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bee movie,Bee Movie,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bee+Movie&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
belief betrayal das medaillondes judas,Belief Betrayal Das Medaillondes Judas,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Belief+Betrayal+Das+Medaillondes+Judas&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
beyond good evil,Beyond Good Evil,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Beyond+Good+Evil&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
biathlon2006,Biathlon 2006,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Biathlon+2006&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
big mutha truckers truck me harder,Big Mutha Truckers Truck Me Harder,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Big+Mutha+Truckers+Truck+Me+Harder&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Big+Pizza+Ski+Challenge+09+Deutschland+Edition&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bike flyter,Bike Flyter,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bike+Flyter&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
billard gl,Billard GL,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Billard+GL&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bioncle heroes,Bioncle Heroes,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bioncle+Heroes&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
birth of america,Birth of America,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q2904559%7CQ114533191%7CQ108370621&props=labels%7Caliases%7Csitelinks&format=json: HTTP Error 429: Too Many Requests,
birthof america,Birthof America,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Birthof+America&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bit defender free10,Bit Defender Free10,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bit+Defender+Free10&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
black and white 2,Black and White 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Black+and+White+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Black+Mirror+Derdunkle+Spiegelder+Seele&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
black penguin,Black Penguin,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Black+Penguin&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
black white,Black White,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Black+White&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blacksite area,Blacksite Area,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blacksite+Area&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blazing angels secret missionsof world war ii,Blazing Angels Secret Missionsof World War II,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blazing+Angels+Secret+Missionsof+World+War+II&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blazing+Angels+Squadrons+Of+WWv&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blazing+Angels+Squadronsof+WW&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blazing+Angels+Squadronsof+WWv&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blazing trails,Blazing Trails,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blazing+Trails&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blitzkrieg 2,Blitzkrieg 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blitzkrieg+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blitzkrieg 2v,Blitzkrieg 2 v,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blitzkrieg+2+v&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blitzkrieg 2v 1,Blitzkrieg 2 v 1,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blitzkrieg+2+v+1&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blitzkrieg+Rolling+Thunder&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blitzkriegv,Blitzkriegv,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blitzkriegv&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
blobs,Blobs,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Blobs&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bloodmoon,Bloodmoon,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bloodmoon&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bmw m3 challenge,BMW M3 Challenge,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=BMW+M3+Challenge&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bmwm3 challenge,BMWM3 Challenge,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=BMWM3+Challenge&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
boiling point,Boiling Point,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Boiling+Point&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
boiling point road to hell,Boiling Point Road to Hell,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Boiling+Point+Road+to+Hell&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
boiling point roadto hell,Boiling Point Roadto Hell,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Boiling+Point+Roadto+Hell&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bomberman act zero,Bomberman Act Zero,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bomberman+Act+Zero&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
boogie,Boogie,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Boogie&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bookof unwritten tales,Bookof Unwritten Tales,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bookof+Unwritten+Tales&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bounci,Bounci,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bounci&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bounci level creator 2,Bounci Level Creator 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bounci+Level+Creator+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bounci level creator2,Bounci Level Creator2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bounci+Level+Creator2&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bounci x dream,Bounci x Dream,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bounci+x+Dream&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bouncix dream,Bouncix Dream,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bouncix+Dream&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
bounty bay online,Bounty Bay Online,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Bounty+Bay+Online&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
boxsport manager,Boxsport Manager,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Boxsport+Manager&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
