game_id,normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
007einquantumtrost,007 ein quantum trost,007 Ein Quantum Trost,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
juiced,juiced,Juiced,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
jumpingjack,jumping jack,Jumping Jack,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
justcause,just cause,Just Cause,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
kracer,k racer,K Racer,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
keepass,kee pass,Kee Pass,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
kingoftheroad,king of the road,King of the Road,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
knight,knight,Knight,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
knightriderthegame,knight rider the game,Knight Rider The Game,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
knowhow,know how,Know How,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
konigederwellen,konige der wellen,Könige der Wellen,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
starwolves,star wolves,Star Wolves,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
starshiptroopers,starship troopers,Starship Troopers,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
starskyandhutch,starsky and hutch,Starsky & Hutch,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
stilllife,still life,Still Life,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
stilllifespecialedition,still life special edition,Still Life Special Edition,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
stoneage2,stone age 2,Stone Age 2,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
stranger,stranger,Stranger,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
strongholdcastleattack,stronghold castle attack,Stronghold Castle Attack,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
suddenstrike,sudden strike,Sudden Strike,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
sudoku,sudoku,Sudoku,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
summerathletics,summer athletics,Summer Athletics,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
sunrisethegame,sunrise the game,Sunrise The Game,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
surfive,surfive,Surfive,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
surfsup,surfs up,Surfs Up,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
suzukialstareextremeracing,suzuki alstare extreme racing,Suzuki Alstare Extreme Racing,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
swat4thestetchkovsyndicate,swat 4 the stetchkov syndicate,Swat 4 The Stetchkov Syndicate,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
sweetsour,sweet sour,Sweet Sour,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
takeall,take all,TAKE ALL,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
teama,team a,TEAM A,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
teamb,team b,TEAM B,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
tabellen,tabellen,Tabellen,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
teamfortress,team fortress,Team Fortress,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
tennispowerball,tennis power ball,Tennis Power Ball,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thandordieinvasion,thandor die invasion,Thandor Die Invasion,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thebardstale,the bard s tale,The Bard's Tale,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
theblob,the blob,The Blob,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thechosen,the chosen,The Chosen,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
theelderscrolls4oblivion,the elder scrolls 4 oblivion,The Elder Scrolls 4 Oblivion,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
theelderscrollsoblivion,the elder scrolls oblivion,The Elder Scrolls Oblivion,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
theitalianjob,the italian job,The Italian Job,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thelegendofzelda,the legend of zelda,The Legend of Zelda,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thewesterner,the westerner,The Westerner,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
thewitcher,the witcher,The Witcher,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
tigerwoodspgatour2005,tiger woods pga tour 2005,Tiger Woods PGA Tour 2005,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
timeshift,timeshift,Timeshift,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
titanquest,titan quest,Titan Quest,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
titanquestsprach,titan quest sprach,Titan Quest Sprach,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
deepolisonline,deepolis online,deepolis online,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
