game_id,normalized_title,representative_title,cluster_title,match_status,match_confidence,canonical_title,canonical_slug,alias_match_status,alias_match_confidence,alias_canonical_title,alias_canonical_slug,alias_rejection_notes
alarmfuercobracrashtime,alarmfuer cobra crash time,Alarmfuer Cobra Crash Time,Alarmfuer Cobra Crash Time,unmatched,low,,,unmatched,low,,,
alemmoandthelostdutchmansmine,al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,Al Emmoandthe Lost Dutchmans Mine,unmatched,low,,,unmatched,low,,,
alexander,alexander,Alexander,Alexander,ambiguous,low,,,ambiguous,low,,,
alexanderdiestundederhelden,alexander die stunde der helden,Alexander Die Stunde der Helden,Alexander Die Stunde der Helden,unmatched,low,,,unmatched,low,,,
alexanderdiestundederhelden,alexander die stundeder helden,Alexander Die Stundeder Helden,Alexander Die Stunde der Helden,unmatched,low,,,unmatched,low,,,
alextheallegator,alexthe allegator,Alexthe Allegator,Alexthe Allegator,unmatched,low,,,unmatched,low,,,
alienarena,alien arena,Alien Arena,Alien Arena,ambiguous,low,,,ambiguous,low,,,
alienchess,alien chess,Alien Chess,Alien Chess,unmatched,low,,,unmatched,low,,,
alienhorde,alien horde,Alien Horde,Alien Horde,unmatched,low,,,unmatched,low,,,
alienshooter,alien shooter,Alien Shooter,Alien Shooter,ambiguous,low,,,ambiguous,low,,,
alienshooter2,alien shooter 2,Alien Shooter 2,Alien Shooter 2,ambiguous,low,,,ambiguous,low,,,
alienshooter2,alien shooter2,Alien Shooter2,Alien Shooter 2,ambiguous,low,,,unmatched,low,,,
alienspinball,aliens pinball,Aliens Pinball,Aliens Pinball,ambiguous,low,,,ambiguous,low,,,
allstarstrippoker,all star strip poker,All Star Strip Poker,All Star Strip Poker,unmatched,low,,,unmatched,low,,,
aloneinthedark,alonein the dark,Alonein The Dark,Alonein The Dark 0,unmatched,low,,,unmatched,low,,,
aloneinthedark,alonein the dark0,Alonein The Dark0,Alonein The Dark 0,unmatched,low,,,unmatched,low,,,
aloneinthedark,aloneinthe dark,Aloneinthe Dark,Alonein The Dark 0,unmatched,low,,,unmatched,low,,,
alternateflip,alternate flip,Alternate Flip,Alternate Flip,unmatched,low,,,unmatched,low,,,
alundo,alundo,Alundo,Alundo,unmatched,low,,,unmatched,low,,,
america,america,America,America,ambiguous,low,,,ambiguous,low,,,
americanconquestfightback,american conquest fight back,American Conquest Fight Back,American Conquest Fight Back,ambiguous,low,,,ambiguous,low,,,
ancientwarssparta,ancient wars sparta,Ancient Wars Sparta,Ancient Wars: Sparta,matched,high,Ancient Wars: Sparta,ancient-wars-sparta,matched,high,Ancient Wars: Sparta,ancient-wars-sparta,
ancientwarsspartafateofhellas,ancient wars sparta fateof hellasv14,Ancient Wars Sparta Fateof Hellasv14,Ancient Wars Sparta Fateof Hellas,unmatched,low,,,,,,,
andersensmaedchen,andersens maedchen,Andersens Maedchen,Andersens Maedchen,unmatched,low,,,unmatched,low,,,
andyetitmoves,and yet it moves,And Yet It Moves,And Yet It Moves,matched,high,And Yet It Moves,and-yet-it-moves,matched,high,And Yet It Moves,and-yet-it-moves,
angelknigspinnfischenindeutschland,angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,Angel Knig Spinnfischenin Deutschland,unmatched,low,,,unmatched,low,,,
angriffaufdiewestfront,angriff auf die westfront,Angriff auf die Westfront,Angriff auf die Westfront,unmatched,low,,,unmatched,low,,,
ankhherzdesosiris,ankh herz des osiris,Ankh Herz des Osiris,Ankh: Herz des Osiris,matched,high,Ankh: Herz des Osiris,ankh-herz-des-osiris,matched,high,Ankh: Herz des Osiris,ankh-herz-des-osiris,
ankhherzdesosiris,ankh herz des osiris v 1,Ankh Herz des Osiris v 1,Ankh: Herz des Osiris,matched,high,Ankh: Herz des Osiris,ankh-herz-des-osiris,,,,,
ankhherzdesosiris,ankh herzdes osiris,Ankh Herzdes Osiris,Ankh: Herz des Osiris,matched,high,Ankh: Herz des Osiris,ankh-herz-des-osiris,unmatched,low,,,
ankhherzdesosiris,ankh herzdes osirisv,Ankh Herzdes Osirisv,Ankh: Herz des Osiris,matched,high,Ankh: Herz des Osiris,ankh-herz-des-osiris,unmatched,low,,,
ankhkampfdergtter,ankh kampfder gtter,Ankh Kampfder Gtter,Ankh Kampfder Gtter,unmatched,low,,,unmatched,low,,,
anno,annov,Annov,Anno,ambiguous,low,,,ambiguous,low,,,
anno1602,anno1602,Anno 1602,Anno 1602,matched,high,Anno 1602,anno-1602,matched,high,Anno 1602,anno-1602,
anno1701derfluchdesdrachen,anno1701 der fluch des drachen add on,Anno 1701 Der Fluch des Drachen (Add On Demo),Anno 1701 Der Fluch des Drachen,ambiguous,low,,,ambiguous,low,,,
anno1701derfluchdesdrachenaddon,anno1701 der fluchdes drachen add on,Anno1701 Der Fluchdes Drachen Add On,Anno 1701 Der Fluchdes Drachen Add On,unmatched,low,,,unmatched,low,,,
anotherworldthanniversaryedition,another worldth anniversary,Another Worldth Anniversary Edition,Another Worldth Anniversary Edition,unmatched,low,,,unmatched,low,,,
ansto,anstov,Anstov,Ansto,unmatched,low,,,unmatched,low,,,
anstoedition,ansto,Ansto Edition,Ansto Edition,unmatched,low,,,unmatched,low,,,
anstoss,anstoss,Anstoss,Anstoss,ambiguous,low,,,ambiguous,low,,,
anstoss3,anstoss 3,Anstoss 3,Anstoss 3,matched,high,Anstoss 3,anstoss-3,matched,high,Anstoss 3,anstoss-3,
anstossaction,anstoss action,Anstoss Action,Anstoss Action,matched,high,Anstoss Action,anstoss-action,matched,high,Anstoss Action,anstoss-action,
anstossedition,anstoss,Anstoss Edition,Anstoss Edition,ambiguous,low,,,ambiguous,low,,,
anstovzwei,anstov zwei,Anstov Zwei,Anstov Zwei,unmatched,low,,,unmatched,low,,,
antiramexiko,antira mexiko,"Antira, Mexiko","Antira, Mexiko",unmatched,low,,,unmatched,low,,,
antitwin,anti twin,Anti Twin,Anti Twin,unmatched,low,,,unmatched,low,,,
apassionatadiegalanachtderpferde,apassionata die galanacht der pferde,Apassionata - Die Galanacht der Pferde,Apassionata - Die Galanacht der Pferde,unmatched,low,,,unmatched,low,,,
aquanox2,aquanox 2,Aquanox 2,Aquanox 2,matched,high,Aquanox 2: Revelation,aquanox-2-revelation,matched,high,Aquanox 2: Revelation,aquanox-2-revelation,
arcaderacecrash,arcade race crash,Arcade Race Crash,Arcade Race Crash,unmatched,low,,,unmatched,low,,,
arenawars,arena wars,Arena Wars,Arena Wars,ambiguous,low,,,ambiguous,low,,,
arenawars,arena wars v 1 1,Arena Wars v 1 1,Arena Wars,ambiguous,low,,,,,,,
arenawarsreloaded,arena wars reloaded,Arena Wars Reloaded,Arena Wars Reloaded,ambiguous,low,,,ambiguous,low,,,
arma2,arma 2,arma 2,Arma 2,matched,high,Arma 2,arma-2,matched,high,Arma 2,arma-2,
armagetronadvanced,armagetron advanced,Armagetron Advanced,Armagetron Advanced,matched,high,Armagetron Advanced,armagetron-advanced,matched,high,Armagetron Advanced,armagetron-advanced,
armedassault,armed assault,Armed Assault,Armed Assault,ambiguous,low,,,ambiguous,low,,,
armedassault,armed assaultv,Armed Assaultv,Armed Assault,ambiguous,low,,,unmatched,low,,,
armiesofexigo,armies of exigo,Armies of Exigo,Armies of Exigo,matched,high,Armies of Exigo,armies-of-exigo,matched,high,Armies of Exigo,armies-of-exigo,
armiesofexigo,armiesof exigo,Armiesof Exigo,Armies of Exigo,matched,high,Armies of Exigo,armies-of-exigo,unmatched,low,,,
armordigit,armor digit,armor digit,armor digit,unmatched,low,,,unmatched,low,,,
armoredcore,armored core,Armored Core,Armored Core,ambiguous,low,,,ambiguous,low,,,
armourofgod2,armour of god 2,Armour of God 2,Armour of God 2,unmatched,low,,,unmatched,low,,,
armourofgod2,armourof god2,Armourof God2,Armour of God 2,unmatched,low,,,unmatched,low,,,
armyoftwo,armyof two,Armyof Two,Armyof Two,ambiguous,low,,,ambiguous,low,,,
arthurunddieminimoys,arthurunddie minimoys,Arthurunddie Minimoys,Arthurunddie Minimoys,unmatched,low,,,unmatched,low,,,
asghan,asghan,Asghan,Asghan,matched,high,Asghan: The Dragon Slayer,asghan-the-dragon-slayer,matched,high,Asghan: The Dragon Slayer,asghan-the-dragon-slayer,
assasinscreed,assasins creed,Assasins Creed,Assasins Creed,matched,high,Assassin's Creed,assassin-s-creed,matched,high,Assassin's Creed,assassin-s-creed,
assassinscreed,assassins creed,Assassins Creed,Assassins Creed,ambiguous,low,,,ambiguous,low,,,
assaultheroes,assault heroes,Assault Heroes,Assault Heroes,ambiguous,low,,,ambiguous,low,,,
asterixobelixxxl2,asterix obelix xxl 2,Asterix Obelix XXL 2,Asterix Obelix XXL 2,ambiguous,low,,,ambiguous,low,,,
astroman,astro man,Astro Man,Astro Man,unmatched,low,,,matched,high,Q115104177,q115104177,
athletics,athletics,Athletics,Athletics,unmatched,low,,,unmatched,low,,,
atlantisdasheiligevermchtnis,atlantis dasheilige vermchtnis,Atlantis Dasheilige Vermchtnis,Atlantis Dasheilige Vermchtnis,unmatched,low,,,unmatched,low,,,
atlantisevolution,atlantis evolution,Atlantis Evolution,Atlantis Evolution,ambiguous,low,,,ambiguous,low,,,
atoll,atoll,Atoll,Atoll,unmatched,low,,,matched,high,Q135022434,q135022434,
atomundmolekl,atomund molekl,Atomund Molekl,Atomund Molekl,unmatched,low,,,unmatched,low,,,
attackonpearlharbor,attack on pearl harbor,Attack on Pearl Harbor,Attack on Pearl Harbor,matched,high,Attack on Pearl Harbor (video game),attack-on-pearl-harbor-video-game,matched,high,Attack on Pearl Harbor (video game),attack-on-pearl-harbor-video-game,
attackonpearlharbor,attackon pearl harbor,Attackon Pearl Harbor,Attack on Pearl Harbor,matched,high,Attack on Pearl Harbor (video game),attack-on-pearl-harbor-video-game,unmatched,low,,,
auergefahr,auer gefahr,Auer Gefahr,Auer Gefahr,unmatched,low,,,unmatched,low,,,
augustus,augustus,Augustus,Augustus,ambiguous,low,,,ambiguous,low,,,
auradieheiligenringe,aura dieheiligen ringe,Aura Dieheiligen Ringe,Aura Die heiligen Ringe,unmatched,low,,,unmatched,low,,,
auratorzurewigkeit,aura tor zur ewigkeit,Aura Tor zur Ewigkeit,Aura Tor zur Ewigkeit,unmatched,low,,,unmatched,low,,,
auratorzurewigkeit,aura tor zur ewigkeit v 1,Aura Tor zur Ewigkeit v 1,Aura Tor zur Ewigkeit,unmatched,low,,,,,,,
aurorawatching,aurora watching,Aurora Watching,Aurora Watching,unmatched,low,,,unmatched,low,,,
autobahnraser2,autobahn raser 2,Autobahn Raser 2,Autobahn Raser 2,unmatched,low,,,unmatched,low,,,
autobahnraser3,autobahnraser 3,Autobahnraser 3,Autobahnraser 3,unmatched,low,,,unmatched,low,,,
autobahnraser4,autobahn raser 4,Autobahn Raser 4,Autobahn Raser 4,unmatched,low,,,unmatched,low,,,
autobahnraserdasspiel,autobahn raser das spiel,Autobahn Raser Das Spiel,Autobahn Raser Das Spiel,unmatched,low,,,unmatched,low,,,
autobahnraserspielzumfilm,autobahn raser spiel zum film,Autobahn Raser Spiel zum Film,Autobahn Raser Spiel zum Film,unmatched,low,,,unmatched,low,,,
autobahnraserw,autobahn raser w,Autobahn Raser W,Autobahn Raser W,unmatched,low,,,unmatched,low,,,
autocrossracing,auto cross racing,Auto Cross Racing,Auto Cross Racing,unmatched,low,,,unmatched,low,,,
avampyrestory,a vampyre story,A Vampyre Story,A Vampyre Story,ambiguous,low,,,ambiguous,low,,,
avencastriseofamage,avencast riseofa mage,Avencast Riseofa Mage,Avencast Rise of a Mage,unmatched,low,,,unmatched,low,,,
awnuts,aw nuts,Aw Nuts,Aw Nuts,unmatched,low,,,unmatched,low,,,
axesnakepeel,axe snake peel,Axe Snake Peel,Axe Snake Peel,unmatched,low,,,unmatched,low,,,
azteca,azteca,Azteca,Azteca,unmatched,low,,,unmatched,low,,,
backgammonxxl,backgammon xxl,Backgammon XXL,Backgammon XXL,unmatched,low,,,unmatched,low,,,
bacuda,bacuda,Bacuda,Bacuda,unmatched,low,,,unmatched,low,,,
baggersimulator,bagger simulator,Bagger Simulator,Bagger Simulator,unmatched,low,,,unmatched,low,,,
baldursgate,baldur s gate,Baldur's Gate,Baldurs Gate,unmatched,low,,,unmatched,low,,,
baldursgate,baldurs gate,Baldurs Gate,Baldurs Gate,unmatched,low,,,unmatched,low,,,
baldursgate2schattenvonamn,baldur s gate 2 schatten von amn,Baldur's Gate 2 - Schatten von Amn,Baldur's Gate 2 - Schatten von Amn,unmatched,low,,,unmatched,low,,,
baldursgate2throndesbhaal,baldur s gate 2 thron des bhaal,Baldur's Gate 2 - Thron des Bhaal,Baldur's Gate 2 - Thron des Bhaal,unmatched,low,,,unmatched,low,,,
baldursgatecompilation,baldur s gate compilation,Baldur's Gate - Compilation,Baldur's Gate - Compilation,unmatched,low,,,unmatched,low,,,
baldursgatelegendenderschwertkuste,baldur s gate legenden der schwertk ste,Baldur's Gate Legenden der Schwertküste,Baldurs Gate Legenden der Schwertküste,unmatched,low,,,unmatched,low,,,
baldursgatelegendenderschwertkuste,baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,Baldurs Gate Legenden der Schwertküste,unmatched,low,,,unmatched,low,,,
ballerburg,ballerburg,Ballerburg,Ballerburg,unmatched,low,,,unmatched,low,,,
ballermannheybaby,ballermann hey baby,Ballermann Hey Baby,Ballermann Hey Baby,unmatched,low,,,unmatched,low,,,
bananasjourney,bananas journey,Bananas Journey,Bananas Journey,unmatched,low,,,unmatched,low,,,
banggunshipelite,bang gunship elite,Bang! Gunship Elite,Bang! Gunship Elite,unmatched,low,,,unmatched,low,,,
baphometsfluchderengeldestodes,baphomets fluch der engeldes todes,Baphomets Fluch Der Engeldes Todes,Baphomets Fluch Der Engeldes Todes,unmatched,low,,,unmatched,low,,,
baphometsfluchderengeldestodes,baphomets fluch der engeldes todesv,Baphomets Fluch Der Engeldes Todesv,Baphomets Fluch Der Engeldes Todes,unmatched,low,,,unmatched,low,,,
baphotmetsfluchderengeldestodes,baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,Baphotmets Fluch Der Engeldes Todes,unmatched,low,,,unmatched,low,,,
barrowhillderfluchderkelten,barrow hill der fluchder kelten,Barrow Hill Der Fluchder Kelten,Barrow Hill Der Fluchder Kelten,unmatched,low,,,unmatched,low,,,
battlecruisermillenium,battlecruiser millenium,Battlecruiser Millenium,Battlecruiser Millenium,unmatched,low,,,unmatched,low,,,
battlefield,battlefield,Battlefield,Battlefield,unmatched,low,,,unmatched,low,,,
battlefield,battlefieldv,Battlefieldv,Battlefield,unmatched,low,,,unmatched,low,,,
battlefield2,battlefield 2,Battlefield 2,Battlefield 2,unmatched,low,,,unmatched,low,,,
battlefield2,battlefield 2v 1,Battlefield 2 v 1,Battlefield 2,unmatched,low,,,,,,,
battlefield2,battlefield 2v 1 12,Battlefield 2 v 1 12,Battlefield 2,unmatched,low,,,,,,,
battlefield2142,battlefield2142,Battlefield 2142,Battlefield 2142,unmatched,low,,,unmatched,low,,,
battlefield2142,battlefield2142v 1,Battlefield 2142 v 1,Battlefield 2142,unmatched,low,,,,,,,
battlefield2specialforces,battlefield 2 special forces,Battlefield 2 Special Forces,Battlefield 2 Special Forces,unmatched,low,,,unmatched,low,,,
battlefieldnorthernstrike,battlefield northern strike,Battlefield Northern Strike,Battlefield Northern Strike,unmatched,low,,,unmatched,low,,,
battlefieldvietnam,battlefield vietnam,Battlefield Vietnam,Battlefield Vietnam,matched,high,Battlefield Vietnam,battlefield-vietnam,matched,high,Battlefield Vietnam,battlefield-vietnam,
battlefieldvietnam,battlefield vietnam v 1,Battlefield Vietnam v 1,Battlefield Vietnam,matched,high,Battlefield Vietnam,battlefield-vietnam,,,,,
battlelord,battle lord,Battle Lord,Battle Lord,unmatched,low,,,unmatched,low,,,
battlemages,battle mages,Battle Mages,Battle Mages,unmatched,low,,,unmatched,low,,,
battlerealms,battle realms,Battle Realms,Battle Realms,unmatched,low,,,unmatched,low,,,
battlestationpacific,battlestation pacific,Battlestation Pacific,Battlestation Pacific,unmatched,low,,,unmatched,low,,,
battlestationsmidway,battlestations midway,Battlestations Midway,Battlestations Midway,unmatched,low,,,unmatched,low,,,
battlestationsmidway,battlestations midwayv,Battlestations Midwayv,Battlestations Midway,unmatched,low,,,unmatched,low,,,
bdflmanager,bdflmanager,BDFLManager,BDFL Manager,unmatched,low,,,unmatched,low,,,
beachkingstuntraser,beach king stunt raser,Beach King Stunt Raser,Beach King Stunt Raser,unmatched,low,,,unmatched,low,,,
beemovie,bee movie,Bee Movie,Bee Movie,unmatched,low,,,unmatched,low,,,
beliefbetrayaldasmedaillondesjudas,belief betrayal das medaillondes judas,Belief Betrayal Das Medaillondes Judas,Belief Betrayal Das Medaillondes Judas,unmatched,low,,,unmatched,low,,,
beyondgoodevil,beyond good evil,Beyond Good Evil,Beyond Good Evil,unmatched,low,,,unmatched,low,,,
biathlon2006,biathlon2006,Biathlon 2006,Biathlon 2006,unmatched,low,,,unmatched,low,,,
bigmuthatruckerstruckmeharder,big mutha truckers truck me harder,Big Mutha Truckers Truck Me Harder,Big Mutha Truckers Truck Me Harder,unmatched,low,,,unmatched,low,,,
bigpizzaskichallenge09deutschlandedition,big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,Big Pizza Ski Challenge 09 Deutschland Edition,unmatched,low,,,unmatched,low,,,
bikeflyter,bike flyter,Bike Flyter,Bike Flyter,unmatched,low,,,unmatched,low,,,
billardgl,billard gl,Billard GL,Billard GL,unmatched,low,,,unmatched,low,,,
bioncleheroes,bioncle heroes,Bioncle Heroes,Bioncle Heroes,unmatched,low,,,unmatched,low,,,
birthofamerica,birth of america,Birth of America,Birth of America,unmatched,low,,,unmatched,low,,,
birthofamerica,birthof america,Birthof America,Birth of America,unmatched,low,,,unmatched,low,,,
bitdefenderfree10,bit defender free10,Bit Defender Free10,Bit Defender Free 10,unmatched,low,,,unmatched,low,,,
blackandwhite2,black and white 2,Black and White 2,Black and White 2,unmatched,low,,,unmatched,low,,,
blackmirrorderdunklespiegelderseele,black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,Black Mirror Derdunkle Spiegelder Seele,unmatched,low,,,unmatched,low,,,
blackpenguin,black penguin,Black Penguin,Black Penguin,unmatched,low,,,unmatched,low,,,
blacksitearea,blacksite area,Blacksite Area,Blacksite Area,unmatched,low,,,unmatched,low,,,
blackwhite,black white,Black White,Black White,unmatched,low,,,unmatched,low,,,
blazingangelssecretmissionsofworldwarii,blazing angels secret missionsof world war ii,Blazing Angels Secret Missionsof World War II,Blazing Angels Secret Missionsof World War II,unmatched,low,,,unmatched,low,,,
blazingangelssquadronsofww,blazing angels squadronsof ww,Blazing Angels Squadronsof WW,Blazing Angels Squadronsof WW,unmatched,low,,,unmatched,low,,,
blazingangelssquadronsofwwv,blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,Blazing Angels Squadrons Of W Wv,unmatched,low,,,unmatched,low,,,
blazingangelssquadronsofwwv,blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,Blazing Angels Squadrons Of W Wv,unmatched,low,,,unmatched,low,,,
blazingtrails,blazing trails,Blazing Trails,Blazing Trails,unmatched,low,,,unmatched,low,,,
blitzkrieg,blitzkriegv,Blitzkriegv,Blitzkrieg,unmatched,low,,,unmatched,low,,,
blitzkrieg2,blitzkrieg 2,Blitzkrieg 2,Blitzkrieg 2,unmatched,low,,,unmatched,low,,,
blitzkrieg2,blitzkrieg 2v,Blitzkrieg 2 v,Blitzkrieg 2,unmatched,low,,,unmatched,low,,,
