normalized_title,representative_title,canonical_title,canonical_slug,match_status,match_confidence,match_method,override_applied,match_source,match_source_url
agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,,,unmatched,low,wikimedia,false,,
agatha christie mordim orient express,Agatha Christie Mordim Orient Express,,,unmatched,low,wikimedia,false,,
agatha christie unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehrv,,,unmatched,low,wikimedia,false,,
age of conan,Age of Conan,,,ambiguous,low,wikimedia,false,,
age of empires,Age of Empires Gold Edition,Age of Empires,age-of-empires,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Age_of_Empires
age of empires 3v 1,Age of Empires 3 v 1,Age of Empires III: Definitive Edition,age-of-empires-iii-definitive-edition,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Age_of_Empires_III%3A_Definitive_Edition
age of empires 3v 1 01a,Age of Empires 3 v 1 01a,Age of Empires III: Definitive Edition,age-of-empires-iii-definitive-edition,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Age_of_Empires_III%3A_Definitive_Edition
age of mythology,Age of Mythology,,,ambiguous,low,wikimedia,false,,
ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,,,unmatched,low,wikimedia,false,,
ageof empires the war chiefs,Ageof Empires The War Chiefs,,,unmatched,low,wikimedia,false,,
ageof empiresv,Ageof Empiresv,,,unmatched,low,wikimedia,false,,
ages of empires 3,Ages of Empires 3,,,unmatched,low,wikimedia,false,,
agon the lost sword of toledo,Agon The Lost Sword of Toledo,,,ambiguous,low,wikimedia,false,,
agon the lost swordof toledo,Agon The Lost Swordof Toledo,,,unmatched,low,wikimedia,false,,
air conflicts,Air Conflicts,,,ambiguous,low,wikimedia,false,,
air strike 3d 2,Air Strike 3 D 2,,,unmatched,low,wikimedia,false,,
airlines tycoon deluxe,Airlines Tycoon Deluxe,,,unmatched,low,wikimedia,false,,
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,,,unmatched,low,wikimedia,false,,
alan wake,Alan Wake,,,ambiguous,low,wikimedia,false,,
alarmfr cobra nitro,Alarmfr Cobra Nitro,,,unmatched,low,wikimedia,false,,
alarmfr cobra11 crash timev111,Alarmfr Cobra11 Crash Timev111,,,unmatched,low,wikimedia,false,,
alexander,Alexander,,,ambiguous,low,wikimedia,false,,
alexander die stunde der helden,Alexander Die Stunde der Helden,,,unmatched,low,wikimedia,false,,
alexander die stundeder helden,Alexander Die Stundeder Helden,,,unmatched,low,wikimedia,false,,
alien arena,Alien Arena,,,ambiguous,low,wikimedia,false,,
alien shooter,Alien Shooter,,,ambiguous,low,wikimedia,false,,
aliens pinball,Aliens Pinball,,,ambiguous,low,wikimedia,false,,
all star strip poker,All Star Strip Poker,,,unmatched,low,wikimedia,false,,
alone in the dark komplettl sung,Alone in the Dark Komplettlösung,,,unmatched,low,wikimedia,false,,
aloneinthe dark,Aloneinthe Dark,,,unmatched,low,wikimedia,false,,
aloneinthe dark komplettlsung,Aloneinthe Dark Komplettlsung,,,unmatched,low,wikimedia,false,,
alternate flip,Alternate Flip,,,unmatched,low,wikimedia,false,,
america,America,,,ambiguous,low,wikimedia,false,,
american conquest fight back,American Conquest Fight Back,,,ambiguous,low,wikimedia,false,,
andersens maedchen,Andersens Maedchen,,,unmatched,low,wikimedia,false,,
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,,,unmatched,low,wikimedia,false,,
angriff auf die westfront,Angriff auf die Westfront,,,unmatched,low,wikimedia,false,,
ankh herz des osiris v 1,Ankh Herz des Osiris v 1,Ankh: Herz des Osiris,ankh-herz-des-osiris,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Ankh%3A_Herz_des_Osiris
ankh herzdes osiris,Ankh Herzdes Osiris,,,unmatched,low,wikimedia,false,,
ankh kampfder gtter,Ankh Kampfder Gtter,,,unmatched,low,wikimedia,false,,
anno1602,Anno 1602,Anno 1602,anno-1602,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Anno_1602
ansto,Ansto Edition,,,unmatched,low,wikimedia,false,,
anstoss,Anstoss Edition,,,ambiguous,low,wikimedia,false,,
anstoss 3,Anstoss 3,Anstoss 3,anstoss-3,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Anstoss_3
anstoss action,Anstoss Action,,,ambiguous,low,wikimedia,false,,
anstov,Anstov,,,unmatched,low,wikimedia,false,,
anstov zwei,Anstov Zwei,,,unmatched,low,wikimedia,false,,
anti twin,Anti Twin,,,unmatched,low,wikimedia,false,,
antira mexiko,"Antira, Mexiko",,,unmatched,low,wikimedia,false,,
aquanox 2,Aquanox 2,Aquanox 2: Revelation,aquanox-2-revelation,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Aquanox_2%3A_Revelation
arena wars,Arena Wars,,,ambiguous,low,wikimedia,false,,
arena wars v 1 1,Arena Wars v 1 1,,,ambiguous,low,wikimedia,false,,
arma 2,arma 2,Arma 2,arma-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Arma_2
armagetron advanced,Armagetron Advanced,Armagetron Advanced,armagetron-advanced,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Armagetron_Advanced
armed assault,Armed Assault,,,ambiguous,low,wikimedia,false,,
armies of exigo,Armies of Exigo,Armies of Exigo,armies-of-exigo,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Armies_of_Exigo
armiesof exigo,Armiesof Exigo,,,unmatched,low,wikimedia,false,,
armor digit,armor digit,,,unmatched,low,wikimedia,false,,
armour of god 2,Armour of God 2,,,unmatched,low,wikimedia,false,,
armourof god2,Armourof God2,,,unmatched,low,wikimedia,false,,
asghan,Asghan,Asghan: The Dragon Slayer,asghan-the-dragon-slayer,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Asghan%3A_The_Dragon_Slayer
ashampoo firewall,Ashampoo Firewall,,,ambiguous,low,wikimedia,false,,
ashampoo magical,Ashampoo Magical,,,ambiguous,low,wikimedia,false,,
ashampoo power up xpplatinum2,Ashampoo Power Up XPPlatinum2,,,unmatched,low,wikimedia,false,,
ashampoo win optimizer 4,Ashampoo Win Optimizer 4,,,unmatched,low,wikimedia,false,,
ashampoo win optimizer4,Ashampoo Win Optimizer4,,,unmatched,low,wikimedia,false,,
assassins creed,Assassins Creed,,,ambiguous,low,wikimedia,false,,
assassins creed spieltricks,Assassins Creed Spieltricks,,,unmatched,low,wikimedia,false,,
assault heroes,Assault Heroes,,,ambiguous,low,wikimedia,false,,
asterix obelix xxl 2,Asterix Obelix XXL 2,,,ambiguous,low,wikimedia,false,,
athletics,Athletics,,,unmatched,low,manual-rejection,false,,
atlantis evolution,Atlantis Evolution,,,ambiguous,low,wikimedia,false,,
augustus,Augustus,,,ambiguous,low,wikimedia,false,,
aura dieheiligen ringe,Aura Dieheiligen Ringe,,,unmatched,low,wikimedia,false,,
aura tor zur ewigkeit,Aura Tor zur Ewigkeit,,,unmatched,low,wikimedia,false,,
aura tor zur ewigkeit v 1,Aura Tor zur Ewigkeit v 1,,,unmatched,low,wikimedia,false,,
aurora watching,Aurora Watching,Aurora Watching,aurora-watching,matched,high,wikimedia,false,wikipedia-other,https://fr.wikipedia.org/wiki/Aurora_Watching
auto cross racing,Auto Cross Racing,,,unmatched,low,wikimedia,false,,
autobahn raser 2,Autobahn Raser 2,Q123980431,q123980431,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q123980431
autobahn raser 4,Autobahn Raser 4,Autobahn Raser IV,autobahn-raser-iv,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Autobahn_Raser_IV
autobahn raser das spiel,Autobahn Raser Das Spiel,,,ambiguous,low,wikimedia,false,,
autobahn raser spiel zum film,Autobahn Raser Spiel zum Film,,,ambiguous,low,wikimedia,false,,
autobahn raser w,Autobahn Raser W,,,ambiguous,low,wikimedia,false,,
autobahnraser 3,Autobahnraser 3,,,unmatched,low,wikimedia,false,,
aw nuts,Aw Nuts,,,unmatched,low,wikimedia,false,,
axe snake peel,Axe Snake Peel,,,unmatched,low,wikimedia,false,,
azteca,Azteca,,,ambiguous,low,wikimedia,false,,
backgammon xxl,Backgammon XXL,,,unmatched,low,wikimedia,false,,
bagger simulator,Bagger Simulator,,,unmatched,low,wikimedia,false,,
baldur s gate,Baldur's Gate,,,ambiguous,low,wikimedia,false,,
baldur s gate 2 schatten von amn,Baldur's Gate 2 - Schatten von Amn,,,ambiguous,low,wikimedia,false,,
baldur s gate 2 thron des bhaal,Baldur's Gate 2 - Thron des Bhaal,,,ambiguous,low,wikimedia,false,,
baldur s gate compilation,Baldur's Gate - Compilation,,,unmatched,low,wikimedia,false,,
baldur s gate legenden der schwertk ste,Baldur's Gate Legenden der Schwertküste,,,ambiguous,low,wikimedia,false,,
baldurs gate,Baldurs Gate,Baldur's Gate (video game),baldur-s-gate-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Baldur%27s_Gate_%28video_game%29
baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,,,unmatched,low,wikimedia,false,,
ballerburg,Ballerburg,Ballerburg,ballerburg,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Ballerburg
bang gunship elite,Bang! Gunship Elite,Bang! Gunship Elite,bang-gunship-elite,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Bang%21_Gunship_Elite
baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,,,unmatched,low,wikimedia,false,,
battle lord,Battle Lord,,,unmatched,low,wikimedia,false,,
battle mages,Battle Mages,Battle Mages,battle-mages,matched,high,wikimedia,false,wikipedia-other,https://fr.wikipedia.org/wiki/Battle_Mages
battle realms,Battle Realms,,,ambiguous,low,wikimedia,false,,
battlecruiser millenium,Battlecruiser Millenium,Q134564284,q134564284,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q134564284
battlefield,Battlefield,Battlefield (video game series),battlefield-video-game-series,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlefield_%28video_game_series%29
battlefield 2,Battlefield 2,,,ambiguous,low,wikimedia,false,,
battlefield 2 special forces,Battlefield 2 Special Forces,,,ambiguous,low,wikimedia,false,,
battlefield 2v 1,Battlefield 2 v 1,,,ambiguous,low,wikimedia,false,,
battlefield 2v 1 12,Battlefield 2 v 1 12,,,ambiguous,low,wikimedia,false,,
battlefield toolkit,Battlefield Toolkit,,,unmatched,low,wikimedia,false,,
battlefield vietnam,Battlefield Vietnam,Battlefield Vietnam,battlefield-vietnam,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlefield_Vietnam
battlefield vietnam v 1,Battlefield Vietnam v 1,Battlefield Vietnam,battlefield-vietnam,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlefield_Vietnam
battlefield2142v 1,Battlefield 2142 v 1,Battlefield 2142,battlefield-2142,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlefield_2142
battlefield2142v150,Battlefield2142v150,,,unmatched,low,wikimedia,false,,
battlefieldv,Battlefieldv,,,unmatched,low,wikimedia,false,,
battlestation pacific,Battlestation Pacific,Battlestations: Pacific,battlestations-pacific,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Battlestations%3A_Pacific
beach king stunt raser,Beach King Stunt Raser,,,unmatched,low,wikimedia,false,,
biathlon2006,Biathlon 2006,Q137822855,q137822855,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q137822855
big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,,,unmatched,low,wikimedia,false,,
bike flyter,Bike Flyter,,,unmatched,low,wikimedia,false,,
bit defender free10,Bit Defender Free10,,,unmatched,low,wikimedia,false,,
black and white 2,Black and White 2,Black & White 2,black-and-white-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Black_%26_White_2
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,,,unmatched,low,wikimedia,false,,
black white,Black White,Q64584589,q64584589,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q64584589
blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,,,unmatched,low,wikimedia,false,,
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,,,unmatched,low,wikimedia,false,,
blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,,,unmatched,low,wikimedia,false,,
blitzkrieg 2,Blitzkrieg 2,Blitzkrieg 2,blitzkrieg-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Blitzkrieg_2
blitzkrieg 2v,Blitzkrieg 2 v,,,ambiguous,low,wikimedia,false,,
blitzkrieg 2v 1,Blitzkrieg 2 v 1,Blitzkrieg 2,blitzkrieg-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Blitzkrieg_2
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,,,unmatched,low,wikimedia,false,,
blitzkriegv,Blitzkriegv,,,unmatched,low,wikimedia,false,,
bloodmoon,Bloodmoon,,,ambiguous,low,wikimedia,false,,
boiling point,Boiling Point,,,ambiguous,low,wikimedia,false,,
boiling point road to hell,Boiling Point Road to Hell,Boiling Point: Road to Hell,boiling-point-road-to-hell,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Boiling_Point%3A_Road_to_Hell
boiling point roadto hell,Boiling Point Roadto Hell,,,unmatched,low,wikimedia,false,,
bomberman act zero,Bomberman Act Zero,Bomberman: Act Zero,bomberman-act-zero,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Bomberman%3A_Act_Zero
bookof unwritten tales,Bookof Unwritten Tales,,,unmatched,low,wikimedia,false,,
bounci,Bounci,,,ambiguous,low,wikimedia,false,,
bounci x dream,Bounci x Dream,,,unmatched,low,wikimedia,false,,
breakball,Breakball,Q135051697,q135051697,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q135051697
breed,Breed,Breed (video game),breed-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Breed_%28video_game%29
bricks from above,Bricks from above,,,ambiguous,low,wikimedia,false,,
bridge builder,Bridge Builder,Bridge Builder,bridge-builder,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Bridge_Builder
brothersin arms earnedin bloodv,Brothersin Arms Earnedin Bloodv,,,unmatched,low,wikimedia,false,,
bruno das spiel,Bruno Das Spiel,,,unmatched,low,wikimedia,false,,
burn in test xpvista version,Burn In Test XPVista Version,,,unmatched,low,wikimedia,false,,
burnout revenge,Burnout Revenge,Burnout Revenge,burnout-revenge,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Burnout_Revenge
caesar,Caesar,,,ambiguous,low,wikimedia,false,,
call of duty 4 modern warfare,Call of Duty 4 - Modern Warfare,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Call_of_Duty_4%3A_Modern_Warfare
callof duty4 modern warfarev16,Callof Duty4 Modern Warfarev16,,,unmatched,low,wikimedia,false,,
callof dutyv,Callof Dutyv,,,unmatched,low,wikimedia,false,,
camera lock ax,camera lock ax,,,unmatched,low,wikimedia,false,,
captain delta und die quelle von argos,Captain Delta und die Quelle von Argos,,,unmatched,low,wikimedia,false,,
captain deltaunddie quellevon argos,Captain Deltaunddie Quellevon Argos,,,unmatched,low,wikimedia,false,,
cars autoswiewir,Cars Autoswiewir,,,unmatched,low,wikimedia,false,,
castle fight,Castle Fight,Q122346928,q122346928,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q122346928
castle strike,Castle Strike,Castle Strike,castle-strike,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Castle_Strike
castrol honda super bike,Castrol Honda Super Bike,,,unmatched,low,wikimedia,false,,
catch em,Catch 'em,,,ambiguous,low,wikimedia,false,,
catchem,Catchem,,,ambiguous,low,wikimedia,false,,
cbsspezial,CBSSpezial,,,unmatched,low,wikimedia,false,,
ccleaner,Ccleaner,,,ambiguous,low,wikimedia,false,,
championsheep rally,Championsheep Rally,Q110817194,q110817194,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q110817194
chaos league sudden death,Chaos League Sudden Death,Chaos League,chaos-league,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Chaos_League
chaos league sudden death v 2,Chaos League Sudden Death v 2,Chaos League,chaos-league,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Chaos_League
chat room,CHAT ROOM,,,ambiguous,low,wikimedia,false,,
chicken shoot,Chicken Shoot,,,ambiguous,low,wikimedia,false,,
chicken shoot 2,Chicken Shoot 2,Chicken Shoot 2,chicken-shoot-2,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Chicken_Shoot_2
children of the nile,Children of the Nile,Immortal Cities: Children of the Nile,immortal-cities-children-of-the-nile,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Immortal_Cities%3A_Children_of_the_Nile
chk alternate flip,Chk Alternate flip,,,unmatched,low,wikimedia,false,,
chk linseneffekte,Chk Linseneffekte,,,unmatched,low,wikimedia,false,,
chk partikel,Chk Partikel,,,unmatched,low,wikimedia,false,,
chk pixelzentrierung,Chk Pixelzentrierung,,,unmatched,low,wikimedia,false,,
chk schatten,Chk Schatten,,,unmatched,low,wikimedia,false,,
chk texturen,Chk Texturen,,,unmatched,low,wikimedia,false,,
chk tooltips,Chk Tooltips,,,unmatched,low,wikimedia,false,,
christmas bound,Christmas Bound,,,unmatched,low,wikimedia,false,,
chrome specforce,Chrome Specforce,Chrome SpecForce,chrome-specforce,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Chrome_SpecForce
chromehounds,Chromehounds,Chromehounds,chromehounds,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Chromehounds
cities online,cities online,,,unmatched,low,wikimedia,false,,
city life,City Life,,,ambiguous,low,wikimedia,false,,
city of villains,City of Villains,,,ambiguous,low,wikimedia,false,,
civilization 4,Civilization 4,Civilization IV,civilization-iv,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Civilization_IV
civilization 4 beyond the sword v 3,Civilization 4 Beyond the Sword v 3,Civilization IV: Beyond the Sword,civilization-iv-beyond-the-sword,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Civilization_IV%3A_Beyond_the_Sword
civilization 4v,Civilization 4 v,Civilization V,civilization-v,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Civilization_V
civilization4 beyondthe swordv317,Civilization4 Beyondthe Swordv317,,,unmatched,low,wikimedia,false,,
civilizationv,Civilizationv,,,unmatched,low,wikimedia,false,,
clever,Clever,,,ambiguous,low,wikimedia,false,,
click clack xl,Click Clack XL,,,unmatched,low,wikimedia,false,,
clonk planet,Clonk Planet,Q117971736,q117971736,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q117971736
club football2005,Club Football 2005,Q60884809,q60884809,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q60884809
clusterball,Clusterball,Clusterball,clusterball,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Clusterball
cobian backup,Cobian Backup,Cobian Backup,cobian-backup,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cobian_Backup
code aktionen,Code Aktionen,,,unmatched,low,wikimedia,false,,
codeaktionen,Codeaktionen,,,unmatched,low,wikimedia,false,,
codename panzers,Codename Panzers,Codename: Panzers – Phase One,codename-panzers-phase-one,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_One
codename panzers 2v 1,Codename Panzers 2 v 1,Codename: Panzers,codename-panzers,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Codename%3A_Panzers
codename panzers ph,Codename Panzers Ph,Codename: Panzers – Phase Two,codename-panzers-phase-two,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_Two
codename panzers phase 2,Codename Panzers Phase 2,Codename: Panzers – Phase Two,codename-panzers-phase-two,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_Two
codename panzers phase 2v 1,Codename Panzers Phase 2 v 1,Codename: Panzers – Phase Two,codename-panzers-phase-two,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_Two
codename panzers phase2v108,Codename Panzers Phase2v108,,,unmatched,low,wikimedia,false,,
codename panzers v 1 06,Codename Panzers v 1 06,Codename: Panzers – Phase One,codename-panzers-phase-one,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Codename%3A_Panzers_%E2%80%93_Phase_One
cold blood,Cold Blood,,,ambiguous,low,wikimedia,false,,
cold war,Cold War,Cold War (video game),cold-war-video-game,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cold_War_%28video_game%29
cold war crisis 1,Cold War Crisis 1,,,ambiguous,low,wikimedia,false,,
cold zero the last stand,Cold Zero The Last Stand,,,unmatched,low,wikimedia,false,,
colin mc rae rally2005,Colin Mc Rae Rally 2005,Colin McRae Rally 2005,colin-mcrae-rally-2005,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Colin_McRae_Rally_2005
combat flight simulator,Combat Flight Simulator,,,ambiguous,low,wikimedia,false,,
combat wings battleof britain,Combat Wings Battleof Britain,,,unmatched,low,wikimedia,false,,
command and conquer,Command and Conquer,,,ambiguous,low,wikimedia,false,,
command conquer alarmstufe rot 3,Command & Conquer Alarmstufe Rot 3,Command & Conquer: Alarmstufe Rot 3,command-and-conquer-alarmstufe-rot-3,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Command_%26_Conquer%3A_Alarmstufe_Rot_3
command conquer alarmstufe rot 3v 1,Command & Conquer - Alarmstufe Rot 3 v 1,Command & Conquer: Alarmstufe Rot 3,command-and-conquer-alarmstufe-rot-3,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Command_%26_Conquer%3A_Alarmstufe_Rot_3
command conquer dieersten jahrev,Command Conquer Dieersten Jahrev,,,unmatched,low,wikimedia,false,,
command conquer tiberium wars,Command Conquer Tiberium Wars,,,ambiguous,low,wikimedia,false,,
commandand conquer,Commandand Conquer,,,unmatched,low,wikimedia,false,,
commandos hinter feindlichen linien,Commandos Hinter feindlichen Linien,Commandos: Hinter feindlichen Linien,commandos-hinter-feindlichen-linien,matched,high,wikimedia,false,wikipedia-de,https://de.wikipedia.org/wiki/Commandos%3A_Hinter_feindlichen_Linien
commandos strike force,Commandos Strike Force,Commandos: Strike Force,commandos-strike-force,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Commandos%3A_Strike_Force
comodo backup,Comodo Backup,Comodo Backup,comodo-backup,matched,high,wikimedia,false,wikipedia-other,https://it.wikipedia.org/wiki/Comodo_Backup
companyof heroes,Companyof Heroes,,,unmatched,low,wikimedia,false,,
companyof heroesv,Companyof Heroesv,,,unmatched,low,wikimedia,false,,
conflict desert storm,Conflict Desert Storm,Conflict: Desert Storm,conflict-desert-storm,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Conflict%3A_Desert_Storm
conflict global storm,Conflict Global Storm,Conflict: Global Terror,conflict-global-terror,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Conflict%3A_Global_Terror
coogles,Coogles,,,unmatched,low,wikimedia,false,,
cossacks 2,Cossacks 2,Cossacks II: Napoleonic Wars,cossacks-ii-napoleonic-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cossacks_II%3A_Napoleonic_Wars
cossacks 2 napoleonic wars,Cossacks 2 Napoleonic Wars,,,ambiguous,low,wikimedia,false,,
cossacks 2v 1,Cossacks 2 v 1,Cossacks II: Napoleonic Wars,cossacks-ii-napoleonic-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cossacks_II%3A_Napoleonic_Wars
cossacks back to war,Cossacks Back to War,,,ambiguous,low,wikimedia,false,,
cossacks battlefor europe,Cossacks Battlefor Europe,,,unmatched,low,wikimedia,false,,
cossacks battlefor europev,Cossacks Battlefor Europev,,,unmatched,low,wikimedia,false,,
cossacks european wars,Cossacks European Wars,Cossacks: European Wars,cossacks-european-wars,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Cossacks%3A_European_Wars
cpucool,CPUCool,,,unmatched,low,wikimedia,false,,
crashday,Crashday,Crashday,crashday,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Crashday
crazy kickers xs,Crazy Kickers XS,,,unmatched,low,wikimedia,false,,
crazy machines,Crazy Machines,,,ambiguous,low,wikimedia,false,,
crazy symbol sudoku,Crazy Symbol Sudoku,,,unmatched,low,wikimedia,false,,
