normalized_title,representative_title,match_status,match_confidence,failure_reason,search_variants
der herrder ringe die schlachtum mittelerdev,Der Herrder Ringe Die Schlachtum Mittelerdev,unmatched,low,no confident Wikimedia match,
der herrder ringe online,Der Herrder Ringe Online,unmatched,low,no confident Wikimedia match,
desperados coopers revengev,Desperados Coopers Revengev,unmatched,low,no confident Wikimedia match,
diablo spezial,Diablo Spezial,unmatched,low,no confident Wikimedia match,
diablo3 spezial,Diablo3 Spezial,unmatched,low,no confident Wikimedia match,
diamantenfee,Diamantenfee,unmatched,low,no confident Wikimedia match,
diamantenfee 2,Diamantenfee 2,unmatched,low,no confident Wikimedia match,
die fischverladestelle,Die Fischverladestelle,unmatched,low,no confident Wikimedia match,
die kunst des mordens geheimakte fbi,Die Kunst des Mordens Geheimakte FBI,unmatched,low,no confident Wikimedia match,
die kunstdes mordens geheimakte fbi,Die Kunstdes Mordens Geheimakte FBI,unmatched,low,no confident Wikimedia match,
die legenden und m rchen von ash kale 1,Die Legenden und Märchen von Ash'kale 1,unmatched,low,no confident Wikimedia match,
die metrostation,Die Metrostation,unmatched,low,no confident Wikimedia match,
die rache der sith,Die Rache der Sith,unmatched,low,no confident Wikimedia match,
die rmer,Die Rmer,unmatched,low,no confident Wikimedia match,
die schalendes zorns,Die Schalendes Zorns,unmatched,low,no confident Wikimedia match,
die siedler dienchste generation,Die Siedler Dienchste Generation,unmatched,low,no confident Wikimedia match,
die siedler dienchste generationv,Die Siedler Dienchste Generationv,unmatched,low,no confident Wikimedia match,
die siedler6 aufstiegeines knigreichsv15,Die Siedler6 Aufstiegeines Knigreichsv15,unmatched,low,no confident Wikimedia match,
die sims 2v,Die Sims 2 v,unmatched,low,no confident Wikimedia match,
die sims nightlifev,Die Sims Nightlifev,unmatched,low,no confident Wikimedia match,
die sims openfor businessv,Die Sims Openfor Businessv,unmatched,low,no confident Wikimedia match,
die unglaublichen,Die Unglaublichen,unmatched,low,matched the franchise page instead of a specific game,
dikowsk ru land,"Dikowsk, Rußland",unmatched,low,no confident Wikimedia match,
dirty split,Dirty Split,unmatched,low,no confident Wikimedia match,
diverse hintergrnde,Diverse Hintergrnde,unmatched,low,no confident Wikimedia match,
divx 6 xp,Divx 6 Play (XP),unmatched,low,no confident Wikimedia match,
divx me,Divx ME,unmatched,low,no confident Wikimedia match,
divx xp,Divx Play XP,unmatched,low,no confident Wikimedia match,
dont angry 2,Dont Angry 2,unmatched,low,no confident Wikimedia match,
doom 3z hunter 1,Doom 3 Z Hunter 1,unmatched,low,no confident Wikimedia match,
double crossfire,Double Crossfire,unmatched,low,no confident Wikimedia match,
dragonshardv,Dragonshardv,unmatched,low,no confident Wikimedia match,
dream pinball dtwo worlds,Dream Pinball DTwo Worlds,unmatched,low,no confident Wikimedia match,
dreamlords the re awakening,Dreamlords - The Re Awakening,unmatched,low,no confident Wikimedia match,
dsl manager,DSL Manager,unmatched,low,no confident Wikimedia match,
dslmanager,DSLManager,unmatched,low,no confident Wikimedia match,
dungeons dragons online,Dungeons Dragons Online,unmatched,low,no confident Wikimedia match,
dzial 1,dzial 1,unmatched,low,no confident Wikimedia match,
dzial 2,dzial 2,unmatched,low,no confident Wikimedia match,
dzial 3,dzial 3,unmatched,low,no confident Wikimedia match,
dzial 4,dzial 4,unmatched,low,no confident Wikimedia match,
dzial 5,dzial 5,unmatched,low,no confident Wikimedia match,
easy bcd 1 7,Easy BCD 1 7,unmatched,low,no confident Wikimedia match,
easy bcd171,Easy BCD171,unmatched,low,no confident Wikimedia match,
easytoolz,Easytoolz,unmatched,low,no confident Wikimedia match,
easytoolz 2,Easytoolz 2,unmatched,low,no confident Wikimedia match,
easytoolz22,Easytoolz22,unmatched,low,no confident Wikimedia match,
ednabrichtaus,Ednabrichtaus,unmatched,low,no confident Wikimedia match,
el coro mexiko,"El Coro, Mexiko",unmatched,low,no confident Wikimedia match,
emergency global fightersfor life,Emergency Global Fightersfor Life,unmatched,low,no confident Wikimedia match,
empire earth3,Empire Earth3,unmatched,low,no confident Wikimedia match,
empires die neuzeit,Empires Die Neuzeit,unmatched,low,no confident Wikimedia match,
enemy territory quake warsv14,Enemy Territory Quake Warsv14,unmatched,low,no confident Wikimedia match,
eragonfilm,Eragonfilm,unmatched,low,no confident Wikimedia match,
erbe der k nige,Erbe der Könige Demo,unmatched,low,no confident Wikimedia match,
erfahrung display,ERFAHRUNG display,unmatched,low,no confident Wikimedia match,
esculli la llengua del,Esculli la llengua del,unmatched,low,no confident Wikimedia match,
eveonline the second genesis,EVEOnline The Second Genesis,unmatched,low,no confident Wikimedia match,
everest ultimate,Everest Ultimate Edition,unmatched,low,no confident Wikimedia match,
everquest kingdomof sky,Everquest Kingdomof Sky,unmatched,low,no confident Wikimedia match,
facesof war,Facesof War,unmatched,low,no confident Wikimedia match,
faesuper hornet,FAESuper Hornet,unmatched,low,no confident Wikimedia match,
fallobst arcade,Fallobst Arcade,unmatched,low,no confident Wikimedia match,
far cryv,Far Cryv,unmatched,low,no confident Wikimedia match,
fast lane carnage,Fast Lane Carnage,unmatched,low,no confident Wikimedia match,
fearv,FEARv,unmatched,low,no confident Wikimedia match,
fette sau xs,Fette Sau XS,unmatched,low,no confident Wikimedia match,
fifafuball weltmeisterschaft,FIFAFuball Weltmeisterschaft,unmatched,low,no confident Wikimedia match,
flip mysz inv,flip mysz inv,unmatched,low,no confident Wikimedia match,
fritz 7 se,Fritz 7 SE,unmatched,low,no confident Wikimedia match,
fritz 9 se,Fritz 9 SE,unmatched,low,no confident Wikimedia match,
frontlines fuelof war,Frontlines Fuelof War,unmatched,low,no confident Wikimedia match,
frontlines fuelof warv102,Frontlines Fuelof Warv102,unmatched,low,no confident Wikimedia match,
frontlines fuelof warv110,Frontlines Fuelof Warv110,unmatched,low,no confident Wikimedia match,
fuball manager,Fuball Manager,unmatched,low,no confident Wikimedia match,
fuball manager2008v802,Fuball Manager2008v802,unmatched,low,no confident Wikimedia match,
funk flitzer,Funk Flitzer,unmatched,low,no confident Wikimedia match,
fussball manager2006v,Fussball Manager 2006 v,unmatched,low,no confident Wikimedia match,
fussball managerv,Fussball Managerv,unmatched,low,no confident Wikimedia match,
galactic civilzations dread lordsv,Galactic Civilzations Dread Lordsv,unmatched,low,no confident Wikimedia match,
garry die schmei fliege,Garry die Schmeißfliege,unmatched,low,no confident Wikimedia match,
genius task force biologie,Genius Task Force Biologie,unmatched,low,no confident Wikimedia match,
ghost recon advanced tactical center,Ghost Recon Advanced Tactical Center,unmatched,low,no confident Wikimedia match,
gigabyte easy tune5 pro,Gigabyte Easy Tune5 Pro,unmatched,low,no confident Wikimedia match,
go around showdown,Go Around Showdown,unmatched,low,no confident Wikimedia match,
gods landsof infinity,Gods Landsof Infinity,unmatched,low,no confident Wikimedia match,
goin downtownv11,Goin Downtownv11,unmatched,low,request failed for https://de.wikipedia.org/w/api.php?action=query&list=search&srsearch=Goin+Downtownv11&srlimit=5&format=json: HTTP Error 429: Too Many Requests,
goldboxer,Goldboxer,unmatched,low,no confident Wikimedia match,
gothicv,Gothicv,unmatched,low,request failed for https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Gothicv&srlimit=5&format=json: HTTP Error 429: Too Many Requests,
gratisaktion,Gratisaktion,unmatched,low,no confident Wikimedia match,
grayout grenade,grayout grenade,unmatched,low,no confident Wikimedia match,
grayout gun,grayout gun,unmatched,low,no confident Wikimedia match,
green,Green Game,unmatched,low,no confident Wikimedia match,
grenade name,grenade name,unmatched,low,no confident Wikimedia match,
gsrgerman street racing,GSRGerman Street Racing,unmatched,low,no confident Wikimedia match,
gtiracing,GTIRacing,unmatched,low,no confident Wikimedia match,
gtr fia gt racing 1,GTR Fia GT Racing Game 1,unmatched,low,no confident Wikimedia match,
gtrfiagtracing,GTRFIAGTRacing Game,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=GTRFIAGTRacing+Game&language=de&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
gunship apocalypse,Gunship Apocalypse,unmatched,low,no confident Wikimedia match,
half life portal,Half Life Portal,unmatched,low,no confident Wikimedia match,
hamburger weihnachtsreise,Hamburger Weihnachtsreise,unmatched,low,no confident Wikimedia match,
hank xs,Hank XS,unmatched,low,no confident Wikimedia match,
happy pingu,Happy Pingu,unmatched,low,no confident Wikimedia match,
harry potter bonusmaterial,Harry Potter Bonusmaterial,unmatched,low,no confident Wikimedia match,
hdcleaner,HDCleaner,unmatched,low,no confident Wikimedia match,
heimspiel eishockeymanager,Heimspiel Eishockeymanager,unmatched,low,no confident Wikimedia match,
heroesof annihilated empires,Heroesof Annihilated Empires,unmatched,low,no confident Wikimedia match,
heroesof might magicv,Heroesof Might Magicv,unmatched,low,no confident Wikimedia match,
heroesof mightand magic,Heroesof Mightand Magic,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Heroesof+Mightand+Magic&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests,
herr der pilze,Herr der Pilze,unmatched,low,no confident Wikimedia match,
hidden dangerous 2,Hidden & Dangerous 2,unmatched,low,request failed for https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q1617336%7CQ3135241&props=labels%7Caliases%7Csitelinks&format=json: HTTP Error 429: Too Many Requests,
himmel und huhn,Himmel und Huhn,unmatched,low,request failed for https://de.wikipedia.org/w/api.php?action=query&list=search&srsearch=Himmel+und+Huhn&srlimit=5&format=json: HTTP Error 429: Too Many Requests,
hitman blood moneyv,Hitman Blood Moneyv,unmatched,low,no confident Wikimedia match,
hui buh das schlossgespenstunddie geisterjger,Hui Buh Das Schlossgespenstunddie Geisterjger,unmatched,low,no confident Wikimedia match,
hyper snap,Hyper Snap,unmatched,low,no confident Wikimedia match,
ice age jetzttauts,Ice Age Jetzttauts,unmatched,low,no confident Wikimedia match,
ikk direkt mountainbike challenge08,IKK Direkt Mountainbike Challenge 08,unmatched,low,no confident Wikimedia match,
ikonka na zakladce 1 naboj,ikonka na zakladce 1 naboj,unmatched,low,no confident Wikimedia match,
ikonka na zakladce 1 pistolet,ikonka na zakladce 1 pistolet,unmatched,low,no confident Wikimedia match,
ikonka na zakladce 2 karabin,ikonka na zakladce 2 karabin,unmatched,low,no confident Wikimedia match,
ikonka na zakladce 3 naboj,ikonka na zakladce 3 naboj,unmatched,low,no confident Wikimedia match,
ikonka na zakladce 4 luneta,ikonka na zakladce 4 luneta,unmatched,low,no confident Wikimedia match,
ilsturmovik forgotten battles,ILSturmovik Forgotten Battles,unmatched,low,no confident Wikimedia match,
immortal cities kinderdes nilsv11,Immortal Cities Kinderdes Nilsv11,unmatched,low,no confident Wikimedia match,
imperium romanum kopierschutz,Imperium Romanum Kopierschutz,unmatched,low,no confident Wikimedia match,
imperium romanumv102,Imperium Romanumv102,unmatched,low,no confident Wikimedia match,
incadia,Incadia,unmatched,low,no confident Wikimedia match,
increase stack undr mouse,increase stack undr mouse,unmatched,low,no confident Wikimedia match,
indiana jonesunddas knigreichdes kristallschdels,Indiana Jonesunddas Knigreichdes Kristallschdels,unmatched,low,no confident Wikimedia match,
industrie gigant 2,Industrie Gigant 2,unmatched,low,no confident Wikimedia match,
inv load parent,inv Load parent,unmatched,low,no confident Wikimedia match,
invasion repel and rebuild,Invasion Repel and Rebuild,unmatched,low,no confident Wikimedia match,
iron manv11,Iron Manv11,unmatched,low,no confident Wikimedia match,
izberite jezik za pripravo,Izberite jezik za pripravo,unmatched,low,no confident Wikimedia match,
jack keaneandthe dokktors island,Jack Keaneandthe Dokktors Island,unmatched,low,no confident Wikimedia match,
jacomo s brick mountain,Jacomo's Brick Mountain,unmatched,low,no confident Wikimedia match,
jacomo s castle,Jacomo's Castle,unmatched,low,no confident Wikimedia match,
jeithonas,Jeithonas,unmatched,low,no confident Wikimedia match,
jumping jokers,Jumping Jokers,unmatched,low,no confident Wikimedia match,
kakuro xxl,Kakuro XXL,unmatched,low,no confident Wikimedia match,
karomatix,Karomatix,unmatched,low,no confident Wikimedia match,
kaufzeit,Kaufzeit,unmatched,low,no confident Wikimedia match,
keepsake v,Keepsake v,unmatched,low,no confident Wikimedia match,
keepsakev,Keepsakev,unmatched,low,no confident Wikimedia match,
knightsofthe temple,Knightsofthe Temple,unmatched,low,no confident Wikimedia match,
kochmeister pfanne 2 xs,Kochmeister Pfanne 2 XS,unmatched,low,no confident Wikimedia match,
kompas bots,kompas bots,unmatched,low,no confident Wikimedia match,
kompas busola,kompas busola,unmatched,low,no confident Wikimedia match,
kompas damage,kompas damage,unmatched,low,no confident Wikimedia match,
kransimulator2009,Kransimulator 2009,unmatched,low,no confident Wikimedia match,
kreska 1,kreska 1,unmatched,low,no confident Wikimedia match,
kreska 2,kreska 2,unmatched,low,no confident Wikimedia match,
kreska 3,kreska 3,unmatched,low,no confident Wikimedia match,
kreska 4,kreska 4,unmatched,low,no confident Wikimedia match,
kreska 5,kreska 5,unmatched,low,no confident Wikimedia match,
kreska 6,kreska 6,unmatched,low,no confident Wikimedia match,
kreska 7,kreska 7,unmatched,low,no confident Wikimedia match,
kreska 8,kreska 8,unmatched,low,no confident Wikimedia match,
kreska 9,kreska 9,unmatched,low,no confident Wikimedia match,
kreska na prawym shopie,kreska na prawym shopie,unmatched,low,no confident Wikimedia match,
kreska na srodkowym oknie nizsza,kreska na srodkowym oknie nizsza,unmatched,low,no confident Wikimedia match,
kreska na srodkowym oknie wyzsza,kreska na srodkowym oknie wyzsza,unmatched,low,no confident Wikimedia match,
kreska10,kreska 10,unmatched,low,no confident Wikimedia match,
kreska11,kreska 11,unmatched,low,no confident Wikimedia match,
larry cannibal attack,Larry Cannibal Attack,unmatched,low,no confident Wikimedia match,
larry cannibal crush,Larry Cannibal Crush,unmatched,low,no confident Wikimedia match,
larry jungle smash,Larry Jungle Smash,unmatched,low,no confident Wikimedia match,
larry s grand slam tennis,Larry's Grand Slam Tennis,unmatched,low,no confident Wikimedia match,
larry super eggomania,Larry Super Eggomania,unmatched,low,no confident Wikimedia match,
lcd panel 1,LCD panel 1,unmatched,low,no confident Wikimedia match,
lcd ramka lewa,LCD ramka lewa,unmatched,low,no confident Wikimedia match,
lcd ramka prawa,LCD ramka prawa,unmatched,low,no confident Wikimedia match,
left arrow,LEFT ARROW,unmatched,low,no confident Wikimedia match,
legend handof godv102,Legend Handof Godv102,unmatched,low,no confident Wikimedia match,
lego star wars dieklassische trilogie,Lego Star Wars Dieklassische Trilogie,unmatched,low,no confident Wikimedia match,
light digit,light digit,unmatched,low,no confident Wikimedia match,
lineage oathof blood chronicle,Lineage Oathof Blood Chronicle,unmatched,low,no confident Wikimedia match,
linseneffekte,Linseneffekte,unmatched,low,no confident Wikimedia match,
loesung,Loesung,unmatched,low,no confident Wikimedia match,
loesungsbuecher,Loesungsbuecher,unmatched,low,no confident Wikimedia match,
logistik master,Logistik Master,unmatched,low,no confident Wikimedia match,
lokiv1082,Lokiv1082,unmatched,low,no confident Wikimedia match,
mapauswahl,Mapauswahl,unmatched,low,no confident Wikimedia match,
mapzeit,Mapzeit,unmatched,low,no confident Wikimedia match,
maximale anzahl der npcs,Maximale Anzahl der NPCs,unmatched,low,no confident Wikimedia match,
mc afee avert stinger,Mc Afee Avert Stinger,unmatched,low,no confident Wikimedia match,
mc afee rootkit detective,Mc Afee Rootkit Detective,unmatched,low,no confident Wikimedia match,
medalof honor airbornev13,Medalof Honor Airbornev13,unmatched,low,no confident Wikimedia match,
metal gear solid gunsofthe patriots,Metal Gear Solid Gunsofthe Patriots,unmatched,low,no confident Wikimedia match,
mighty jack hammer,Mighty Jack Hammer,unmatched,low,no confident Wikimedia match,
mini golf shot,Mini Golf Shot,unmatched,low,no confident Wikimedia match,
minus details,minus Details,unmatched,low,no confident Wikimedia match,
minus gewehre,minus GEWEHRE,unmatched,low,no confident Wikimedia match,
minus kampf,minus KAMPF,unmatched,low,no confident Wikimedia match,
minus kraft,minus KRAFT,unmatched,low,no confident Wikimedia match,
minus machinenpistolen,minus MACHINENPISTOLEN,unmatched,low,no confident Wikimedia match,
minus nahkampf,minus NAHKAMPF,unmatched,low,no confident Wikimedia match,
minus pistolen,minus PISTOLEN,unmatched,low,no confident Wikimedia match,
minus schottflinten,minus SCHOTTFLINTEN,unmatched,low,no confident Wikimedia match,
minus schwierigkeitsgrad,minus Schwierigkeitsgrad,unmatched,low,no confident Wikimedia match,
minus tarnung,minus TARNUNG,unmatched,low,no confident Wikimedia match,
